City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
atuona,-9.8,-139.0333,78.08,75,29,17.25,PF,1634976494
tigbao,12.5546,123.3389,78.8,88,100,15.28,PH,1634976495
saldanha,-33.0117,17.9442,60.87,66,12,15.9,ZA,1634976496
butaritari,3.0707,172.7902,82.49,75,100,15.19,KI,1634976497
ust-ishim,57.6935,71.1665,48.7,81,100,12.44,RU,1634976497
pital,2.2665,-75.8044,65.1,92,26,3.33,CO,1634976498
east london,-33.0153,27.9116,79.05,30,84,8.81,ZA,1634976499
cape town,-33.9258,18.4232,67.08,51,25,7,ZA,1634976294
salalah,17.0151,54.0924,84.29,61,0,12.66,OM,1634976500
ponta do sol,32.6667,-17.1,69.01,67,9,6.87,PT,1634976501
ushuaia,-54.8,-68.3,33.46,86,90,24.16,AR,1634976434
torbay,47.6666,-52.7314,55.27,97,90,6.91,CA,1634976503
lompoc,34.6391,-120.4579,60.26,86,90,6.91,US,1634976503
murray bridge,-35.1167,139.2667,64.69,56,3,17.47,AU,1634976504
vaini,-21.2,-175.2,69.96,88,20,8.05,TO,1634976505
vostok,46.4856,135.8833,33.85,86,36,5.57,RU,1634976506
mataura,-46.1927,168.8643,54.61,76,100,1.5,NZ,1634976507
bluff,-46.6,168.3333,52.75,85,92,12.1,NZ,1634976507
longyearbyen,78.2186,15.6401,19.24,86,40,3.44,SJ,1634976508
castro,-24.7911,-50.0119,51.8,78,2,3.94,BR,1634976509
vila franca do campo,37.7167,-25.4333,64.81,86,61,4.52,PT,1634976510
hermanus,-34.4187,19.2345,63.81,69,26,23.13,ZA,1634976511
naze,28.3667,129.4833,68.11,66,78,15.21,JP,1634976512
lebu,-37.6167,-73.65,48.27,76,59,10.69,CL,1634976513
iqaluit,63.7506,-68.5145,23.7,92,100,5.01,CA,1634976514
qaanaaq,77.484,-69.3632,-0.6,65,0,8.79,GL,1634976515
busselton,-33.65,115.3333,73.04,52,16,8.28,AU,1634976515
yellowknife,62.456,-114.3525,41.56,75,54,5.99,CA,1634976262
chokurdakh,70.6333,147.9167,-8.84,98,100,3.18,RU,1634976517
padang,-0.9492,100.3543,86.05,76,47,4.07,ID,1634976518
kapaa,22.0752,-159.319,75.52,93,75,12.66,US,1634976518
uribia,11.7139,-72.266,80.46,78,23,16.93,CO,1634976519
hithadhoo,-0.6,73.0833,82.89,73,100,14,MV,1634976520
ribeira grande,38.5167,-28.7,66.6,82,20,3.44,PT,1634976522
flinders,-34.5833,150.8552,74.21,87,82,2.89,AU,1634976522
puerto ayora,-0.7393,-90.3518,69.48,85,71,8.23,EC,1634976523
san fernando,15.0286,120.6898,88.14,71,100,11.45,PH,1634976524
courtenay,49.6866,-124.9936,53.92,68,100,7.11,CA,1634976262
araouane,18.9048,-3.5265,80.67,20,16,8.25,ML,1634976525
port shepstone,-30.7414,30.455,75.6,63,7,9.89,ZA,1634976526
ilhabela,-23.7781,-45.3581,65.52,89,18,6.85,BR,1634976307
nikolskoye,59.7035,30.7861,41.88,96,100,5.97,RU,1634976528
norman wells,65.282,-126.8329,32.38,91,0,7.09,CA,1634976529
karaton,-6.3424,106.1045,87.96,61,100,2.1,ID,1634976529
souillac,-20.5167,57.5167,79.36,65,28,14.32,MU,1634976530
sanming,26.2486,117.6186,56.21,97,100,3.29,CN,1634976531
